episode,total_reward,episode_length,success,total_loss,worker_loss,value_loss,entropy_bonus,manager_loss,grad_norm,encoder_grad_norm,manager_grad_norm,worker_grad_norm,value_head_grad_norm,manager_value_head_grad_norm,returns_mean,returns_min,returns_max,advantages_mean,advantages_abs_mean,values_mean,value_min,value_max,manager_values_mean,manager_value_min,manager_value_max,log_prob_mean,log_prob_min,log_prob_max,entropy_mean,entropy_min,entropy_max,num_steps,action_min,action_max,action_coverage,action_histogram,reward_min,reward_max,nonzero_reward_steps,positive_reward_steps,nonzero_reward_fraction,nonzero_return_steps,nonzero_return_fraction,has_reward_signal,has_return_signal,num_goal_updates,final_hidden_norm,final_goal_norm,final_step_count,reward_moving_avg,success_moving_avg,loss_moving_avg
2046,0.9703,33,True,0.4853789508342743,0.4447839856147766,0.094489187002182,1.3869918584823608,0.07220280170440674,0.7739514112472534,0.42847090526252213,0.04801563251724488,0.2329153875297284,0.5915140650221506,0.09470718747279695,0.829957902431488,0.7034486532211304,0.970300018787384,0.3012634515762329,0.3012634515762329,0.5286945104598999,0.45785778760910034,0.7554653286933899,0.5264289379119873,0.4395439028739929,0.8136358261108398,-1.528929591178894,-3.015017032623291,-0.30982494354248047,1.3869918584823608,0.9947910308837891,1.8885830640792847,33,0,6,0.8571428571428571,"1,0,12,3,3,6,8",0.0,0.9703,1,1,0.030303030303030304,33,1.0,True,True,4,0.0,2.391514539718628,33,0.76658,0.95,-0.04550139559432864
2047,0.7336,296,True,-0.22231927514076233,-0.23078006505966187,0.04515611752867699,1.8715070486068726,0.04597793519496918,0.24626384675502777,0.16949988167466734,0.014360379976316137,0.03639384891818839,0.16950285668024315,0.04066602711811135,0.23518532514572144,0.037830594927072525,0.7336000204086304,-0.12214338779449463,0.18083342909812927,0.35732871294021606,0.2625819444656372,0.8626626133918762,0.3636741638183594,0.3032855987548828,0.6109350919723511,-1.865140438079834,-3.2200756072998047,-0.15653491020202637,1.8715070486068726,0.6175063848495483,1.9377045631408691,296,0,6,1.0,"53,31,57,29,30,39,57",0.0,0.7336,1,1,0.0033783783783783786,296,1.0,True,True,30,0.0,1.4608705043792725,296,0.77603,0.95,-0.02613208396360278
2048,0.9451,61,True,0.43301331996917725,0.40826064348220825,0.0751723125576973,1.679991364479065,0.039664365351200104,0.5736956596374512,0.3987168014349435,0.02850788477628175,0.10343677387039402,0.39284288969837866,0.06568276666237619,0.710087776184082,0.5171180963516235,0.9451000094413757,0.24322107434272766,0.24322107434272766,0.46686670184135437,0.29033663868904114,0.7966500520706177,0.4905267059803009,0.31172218918800354,0.8411369919776917,-1.6492054462432861,-3.3426811695098877,-0.14007949829101562,1.679991364479065,0.5578930974006653,1.9332693815231323,61,0,6,1.0,"12,6,21,2,4,10,6",0.0,0.9451,1,1,0.01639344262295082,61,1.0,True,True,7,0.0,2.510841131210327,61,0.777515,0.95,-0.010050347726792096
2049,0.8632,152,True,0.1940748542547226,0.1877291053533554,0.042212530970573425,1.8469953536987305,0.037094540894031525,0.19845634698867798,0.13637942435002254,0.009080093880388882,0.03623708555466176,0.13814185829871978,0.017516460894423554,0.44463640451431274,0.18924589455127716,0.8632000088691711,0.10308856517076492,0.16421157121658325,0.34154781699180603,0.25961005687713623,0.8168559670448303,0.36293452978134155,0.28357282280921936,0.824712872505188,-1.8038309812545776,-2.799811840057373,-0.11787629127502441,1.8469953536987305,0.48245948553085327,1.9343321323394775,152,0,6,1.0,"19,14,41,17,16,21,24",0.0,0.8632,1,1,0.006578947368421052,152,1.0,True,True,16,0.0,2.4580297470092773,152,0.77756,0.95,0.006622568983584642
2050,0.8605,155,True,0.12562942504882812,0.1240226998925209,0.03221982344985008,1.8010417222976685,0.035072386264801025,0.12812909483909607,0.08083888000000841,0.008782558841285327,0.03392019413408661,0.09150795477253802,0.01675478551004761,0.43824541568756104,0.1830507218837738,0.8604999780654907,0.0603768415749073,0.13967245817184448,0.3778685927391052,0.26672881841659546,0.8529159426689148,0.3750951290130615,0.30482569336891174,0.5048004388809204,-1.8389040231704712,-4.184803009033203,-0.09786558151245117,1.8010417222976685,0.4173116683959961,1.9359078407287598,155,0,6,1.0,"18,20,31,16,10,34,26",0.0,0.8605,1,1,0.0064516129032258064,155,1.0,True,True,16,0.0,1.0095492601394653,155,0.776795,0.95,0.01673227222636342
2051,0.6345999999999999,406,True,-0.3405912518501282,-0.3576548099517822,0.05731940641999245,1.8487974405288696,0.06891806423664093,0.38725152611732483,0.2758176062427118,0.02297035123158449,0.017749945988071704,0.2624436204400542,0.06456818090707371,0.1536639928817749,0.01083317119628191,0.6345999836921692,-0.1911909580230713,0.21346470713615417,0.3448549509048462,0.2691691219806671,0.8751463294029236,0.3630753755569458,0.2585001587867737,0.5491576790809631,-1.858184576034546,-3.990255832672119,-0.06609630584716797,1.8487974405288696,0.3098564147949219,1.9342586994171143,406,0,6,1.0,"56,44,75,45,33,67,86",0.0,0.6345999999999999,1,1,0.0024630541871921183,406,1.0,True,True,41,0.0,0.6862172484397888,406,0.76379,0.95,-0.003812767844647169
2052,0.4204,644,True,-0.4854682981967926,-0.5180162787437439,0.08586020022630692,1.885456919670105,0.08472449332475662,0.49989572167396545,0.31899808698461457,0.028842153086028374,0.02049877268727588,0.37447082042567403,0.08158122506558418,0.06517866253852844,0.0006562889902852476,0.4203999936580658,-0.27365371584892273,0.2740568220615387,0.33883237838745117,0.26891031861305237,0.835025429725647,0.33688411116600037,0.2683980166912079,0.6209375858306885,-1.8987650871276855,-3.0997676849365234,-0.3197648525238037,1.885456919670105,0.9818512201309204,1.9345319271087646,644,0,6,1.0,"90,77,115,69,72,112,109",0.0,0.4204,1,1,0.0015527950310559005,644,1.0,True,True,65,0.0,1.4577394723892212,644,0.755105,0.95,-0.0030176940374076365
2053,0.9334,74,True,0.37233617901802063,0.35670843720436096,0.05640091747045517,1.755110740661621,0.04978376254439354,0.4811033308506012,0.34300962842777294,0.02462864392955399,0.03640927538511821,0.32769849851384775,0.06697980888275894,0.6617807149887085,0.448164165019989,0.9333999752998352,0.2097633332014084,0.2097633332014084,0.4520173668861389,0.26577311754226685,0.7404230833053589,0.43985089659690857,0.302890419960022,0.6571943759918213,-1.7429053783416748,-3.1529548168182373,-0.3266110420227051,1.755110740661621,1.0025821924209595,1.9220044612884521,74,0,6,1.0,"6,7,19,7,8,12,15",0.0,0.9334,1,1,0.013513513513513514,74,1.0,True,True,8,0.0,1.5818523168563843,74,0.75515,0.95,0.0021735501475632192
2054,0.8596,156,True,0.06372976303100586,0.06795889139175415,0.022499890998005867,1.821275234222412,0.027336787432432175,0.08369796723127365,0.05706780978380572,0.005114574608383359,0.029677202501846956,0.052921763580059684,0.006403662011599376,0.43614110350608826,0.18103057146072388,0.8596000075340271,0.03748351335525513,0.11392007023096085,0.39865753054618835,0.26552820205688477,0.9687540531158447,0.4070664644241333,0.3024202287197113,0.6733967661857605,-1.818009614944458,-3.549142837524414,-0.3435671329498291,1.821275234222412,0.9092472791671753,1.930436611175537,156,0,6,1.0,"15,17,33,22,10,39,20",0.0,0.8596,1,1,0.00641025641025641,156,1.0,True,True,16,0.0,0.680393397808075,156,0.75569,0.95,0.0062807765789330006
2055,0.8065,215,True,-0.054421424865722656,-0.05022469907999039,0.02325340174138546,1.8267546892166138,0.024441182613372803,0.06313172727823257,0.04906217991264088,0.005701102393529996,0.016511051547028515,0.03178062617311586,0.01622935468425539,0.33189183473587036,0.09387222677469254,0.8065000176429749,-0.022641558200120926,0.1279095858335495,0.3545333445072174,0.26588791608810425,0.8495839238166809,0.37776580452919006,0.3023265302181244,0.6786674857139587,-1.8360490798950195,-3.111180305480957,-0.4447298049926758,1.8267546892166138,1.0589545965194702,1.93048894405365,215,0,6,1.0,"32,23,41,23,12,37,47",0.0,0.8065,1,1,0.004651162790697674,215,1.0,True,True,22,0.0,1.664873480796814,215,0.75227,0.95,0.0047023377381265165
2056,0.8857,127,True,0.05097098648548126,0.039680056273937225,0.04493925720453262,1.7736071348190308,0.06557373702526093,0.15389983355998993,0.13004206116847963,0.01441064854678445,0.056366038051326804,0.056209577671097306,0.015162617644102514,0.5027974843978882,0.2496444284915924,0.885699987411499,0.021221501752734184,0.1849958747625351,0.48157599568367004,0.30721622705459595,0.9492781162261963,0.4434661269187927,0.301337331533432,0.5786105394363403,-1.7622534036636353,-3.372877359390259,-0.06855916976928711,1.7736071348190308,0.3142313063144684,1.926261067390442,127,0,6,1.0,"14,7,26,15,11,34,20",0.0,0.8857,1,1,0.007874015748031496,127,1.0,True,True,13,0.0,0.38925817608833313,127,0.7527200000000001,0.95,0.003561997693032026
2057,0.8884,124,True,0.18353056907653809,0.18077576160430908,0.03322159871459007,1.7771034240722656,0.039150454103946686,0.20443864166736603,0.13721610482913832,0.009450892458989784,0.04756411682772356,0.14125361773670658,0.025741922337219347,0.5104120969772339,0.25807031989097595,0.8884000182151794,0.09860001504421234,0.1422852873802185,0.4118121266365051,0.265361487865448,0.8992629051208496,0.4043615162372589,0.26122477650642395,0.7285760641098022,-1.7370948791503906,-3.013339042663574,-0.1760396957397461,1.7771034240722656,0.6004881858825684,1.93015718460083,124,0,6,1.0,"20,12,33,12,7,19,21",0.0,0.8884,1,1,0.008064516129032258,124,1.0,True,True,13,0.0,1.8909848928451538,124,0.7634299999999999,0.95,0.03242156384512782
2058,0.8109999999999999,210,True,-0.10566376149654388,-0.11025320738554001,0.03672605752944946,1.8090215921401978,0.043166372925043106,0.15778425335884094,0.10545259340299006,0.014464373420990651,0.023009710303887498,0.10900809890127044,0.03397335696529888,0.33939650654792786,0.09926072508096695,0.8109999895095825,-0.0606282502412796,0.1551668643951416,0.4000247120857239,0.2658888101577759,0.9059808254241943,0.4180625081062317,0.2794930636882782,0.7671165466308594,-1.8277817964553833,-3.5197842121124268,-0.15962839126586914,1.8090215921401978,0.5784422755241394,1.933140516281128,210,0,6,1.0,"37,21,51,20,19,28,34",0.0,0.8109999999999999,1,1,0.004761904761904762,210,1.0,True,True,21,0.0,2.004070997238159,210,0.761135,0.95,0.02807411216199398
2059,0.5059,549,True,-0.45966437458992004,-0.49330270290374756,0.08641299605369568,1.8653829097747803,0.09085649996995926,0.5149954557418823,0.3397861690047592,0.03142674483599513,0.025432851943627623,0.37536722074543416,0.0850332917362304,0.0917794331908226,0.002051885472610593,0.5059000253677368,-0.26408517360687256,0.26657548546791077,0.35586458444595337,0.26578208804130554,0.9819357395172119,0.3644598722457886,0.30029919743537903,0.5901471972465515,-1.8872733116149902,-3.706591844558716,-0.07394647598266602,1.8653829097747803,0.33147576451301575,1.9303572177886963,549,0,6,1.0,"79,56,106,72,48,100,88",0.0,0.5059,1,1,0.0018214936247723133,549,1.0,True,True,55,0.0,1.072679877281189,549,0.745835,0.95,0.01074456200003624
2060,0.9739,29,True,0.5078098773956299,0.4587327241897583,0.1043110117316246,1.523526668548584,0.12156905978918076,0.7884055972099304,0.5897059755360403,0.06017539395901372,0.15073581502670835,0.4833805658909315,0.11760579076583128,0.8490660786628723,0.7350214719772339,0.9739000201225281,0.2903026044368744,0.2906091511249542,0.5587634444236755,0.42197561264038086,0.9589648842811584,0.4768182337284088,0.44385361671447754,0.5096824765205383,-1.4223933219909668,-2.8139634132385254,-0.06955718994140625,1.523526668548584,0.31628674268722534,1.92076575756073,29,0,6,0.8571428571428571,"6,0,9,1,2,7,4",0.0,0.9739,1,1,0.034482758620689655,29,1.0,True,True,3,0.0,0.889740526676178,29,0.7474999999999999,0.95,0.016242564469575883
2061,0.5527,497,True,-0.4311802089214325,-0.4636633098125458,0.08457855880260468,1.8553825616836548,0.08747631311416626,0.534067690372467,0.37532581065412934,0.032666035395204296,0.04634291790986524,0.3672921242188622,0.07899732568946506,0.11045429110527039,0.0037804902531206608,0.5526999831199646,-0.25278228521347046,0.263582706451416,0.36323660612106323,0.2641236186027527,0.967195987701416,0.3629316985607147,0.2886597812175751,0.6227396726608276,-1.857130527496338,-3.966189384460449,-0.0905923843383789,1.8553825616836548,0.38388633728027344,1.930182933807373,497,0,6,1.0,"75,51,81,56,35,104,95",0.0,0.5527,1,1,0.002012072434607646,497,1.0,True,True,50,0.0,0.343421071767807,497,0.775135,1.0,0.026092826575040817
